Time,Type,Financial Transaction Type,Transaction Id,Description,Wallet Currency,Target Currency,Target Amount,Conversion Rate,Mature Date,Amount,Fee,Debit Net Amount,Credit Net Amount,Account Balance,Available Balance,Created At,Request Id,Reference,Note to Self
2026-03-17T23:05:48+0800,PAYIN,PAYIN_SETTLEMENT,af39e819-7e5c-3162-8ba2-d17ccddce159,Batch Settlement bat_20260317_USD_1,USD,,,,,"7,899.16",380.90,,"7,899.16","37,643.22","37,643.22",2026-03-12T00:38:46+0800,,,
2026-03-18T21:26:23+0800,DEPOSIT,DEPOSIT,9db36292-6d22-4e4a-bb21-7be9303541b2,TRUSTED TRANSLAT | GA Radical Marketing Limited United States of America | 8485799457 | cd175b4c-8cc9-448a-84ab-e001bf9c215f,USD,,,,,"1,000.00",,,"1,000.00","38,643.22","38,643.22",2026-03-18T21:26:20+0800,,ACH Pmt    Invoice 2026/008,
2026-03-18T21:26:23+0800,FEE,FEE,9db36292-6d22-4e4a-bb21-7be9303541b2,Reason: Deposit to account 8485799457,USD,,,,,3.00,,3.00,,"38,640.22","38,640.22",2026-03-18T21:26:23+0800,,,
2026-03-21T23:05:28+0800,PAYIN,PAYIN_SETTLEMENT,8bef46fb-da85-3d2b-b4bd-fae8c5fe9424,Batch Settlement bat_20260321_USD_1,USD,,,,,"3,891.72",187.68,,"3,891.72","42,531.94","42,531.94",2026-03-16T00:49:58+0800,,,
2026-03-23T16:33:23+0800,CARD,CARD_PURCHASE,5251d330-871e-459b-a54a-4191207169e7,"INSTANTLY, INSTANTLY.AI, USA, (Company card 1, **1524): USD 97.00",USD,,,,,97.00,,97.00,,"42,434.94","42,434.94",2026-03-23T15:09:31+0800,,,
2026-03-24T21:25:24+0800,CARD,CARD_REFUND,0dd068c2-7269-46e3-8b01-64879edce900,"MANYREACH, WILMINGTON, USA, (Company card 1, **1524): USD 224.00",USD,,,,,224.00,,,224.00,"42,658.94","42,658.94",2026-03-24T21:24:23+0800,,,
2026-03-30T04:33:01+0800,CARD,CARD_PURCHASE,31adb708-9071-423f-9188-f34339d6908b,"VIDIQ, VIDIQ.COM, USA, (Company card 1, **1524): USD 14.25",USD,,,,,14.25,,14.25,,"42,644.69","42,644.69",2026-03-29T15:51:18+0800,,,
2026-04-01T15:33:46+0800,CARD,CARD_PURCHASE,f999b078-6ad9-4e0c-b717-98b809dd5362,"GROW ON REPEAT, MAARSSEN, NLD, (Company card 1, **1524): USD 397.00",USD,,,,,397.00,,397.00,,"42,247.69","42,247.69",2026-04-01T11:50:13+0800,,,
2026-04-04T06:26:29+0800,CARD,CARD_PURCHASE,10795970-3bf9-4ae8-8ce1-b0bfd6cd3ae5,"Kie AI, DENVER, USA, (Company card 1, **1524): USD 5.00",USD,,,,,5.00,,5.00,,"42,242.69","42,242.69",2026-04-03T17:30:01+0800,,,
2026-04-08T12:42:48+0800,DEPOSIT,DEPOSIT,7bce4c4c-8817-45e2-87b2-7ac2efe08597,GRADE SOLUTION LEARNING CENTRE PTE. | GA Radical Marketing Limited Singapore | 8853877972 | 033d8539-7247-49c0-b71e-756c5e01e818,SGD,,,,,"12,091.08",,,"12,091.08","85,069.34","85,069.34",2026-04-08T12:42:45+0800,,,
2026-04-08T12:42:48+0800,FEE,FEE,7bce4c4c-8817-45e2-87b2-7ac2efe08597,Reason: Deposit to account 8853877972,SGD,,,,,36.27,,36.27,,"85,033.07","85,033.07",2026-04-08T12:42:48+0800,,,
2026-04-09T21:48:48+0800,DEPOSIT,DEPOSIT,62c2d43c-f56c-4c94-9183-ea1a90ea5277,SCIENCE SHIFU PTE. LTD. | GA Radical Marketing Limited Singapore | 8853877972 | 033d8539-7247-49c0-b71e-756c5e01e818,SGD,,,,,"2,273.28",,,"2,273.28","87,306.35","87,306.35",2026-04-09T21:48:45+0800,,SS - RM March 2026,
2026-04-09T21:48:48+0800,FEE,FEE,62c2d43c-f56c-4c94-9183-ea1a90ea5277,Reason: Deposit to account 8853877972,SGD,,,,,6.82,,6.82,,"87,299.53","87,299.53",2026-04-09T21:48:48+0800,,,
2026-04-09T22:27:19+0800,DEPOSIT,DEPOSIT,4bb6322f-9e08-448c-9ae7-b02bf1f8e242,THE SCIENCE OF STUDYING PTE. LTD. | GA Radical Marketing Limited Singapore | 8853877972 | 033d8539-7247-49c0-b71e-756c5e01e818,SGD,,,,,"1,887.82",,,"1,887.82","89,187.35","89,187.35",2026-04-09T22:27:17+0800,,202630,
2026-04-09T22:27:19+0800,FEE,FEE,4bb6322f-9e08-448c-9ae7-b02bf1f8e242,Reason: Deposit to account 8853877972,SGD,,,,,5.66,,5.66,,"89,181.69","89,181.69",2026-04-09T22:27:19+0800,,,
2026-04-11T23:03:52+0800,PAYIN,PAYIN_SETTLEMENT,7dbb1b06-4d2f-3121-bb8d-c8587b11e84b,Batch Settlement bat_20260411_GBP_1,GBP,,,,,"2,432.47",117.30,,"2,432.47","19,467.08","19,467.08",2026-04-06T00:42:33+0800,,,
2026-04-17T14:51:42+0800,YIELD,TRANSFER,e3848a8f-3038-4552-baf2-707beb5a8896,Transfer to GBP Yield balance,GBP,,,,,"15,000.00",,"15,000.00",,"4,467.08","4,467.08",2026-04-17T14:51:42+0800,,,
2026-04-17T14:52:34+0800,YIELD,TRANSFER,9b05bb0d-bde7-4c3a-8a97-11c0280a7ec0,Transfer to USD Yield balance,USD,,,,,"10,000.00",,"10,000.00",,"32,242.69","32,242.69",2026-04-17T14:52:34+0800,,,
2026-04-17T14:55:14+0800,PAYOUT,PAYOUT,c529362e-2b4c-49a4-b17b-6a2d9c72fae6,Pay Ana Liza Gajete Dagondon 51889.90 PHP (inv 125) P260417-MQ8MEEZ,USD,,,59.302738,,875.00,,875.00,,"31,367.69","31,367.69",2026-04-17T14:55:14+0800,5e976417-f531-48df-bb9c-a6ed3a143498,inv 125,March work
2026-04-21T14:47:57+0800,YIELD,TRANSFER,21c1aeca-3f12-438a-8f3f-0bad08c8ec80,Transfer to USD Yield balance,USD,,,,,"20,000.00",,"20,000.00",,"11,367.69","11,367.69",2026-04-21T14:47:57+0800,,,
2026-04-21T15:07:23+0800,CONVERSION,CONVERSION_SELL,6ac3856d-f0b8-4e0b-a1da-192e035c6cc0,Buy USD 31360.82,SGD,USD,"31,360.82",1.275477,2026-04-21,"40,000.00",,"40,000.00",,"49,181.69","49,181.69",2026-04-21T15:07:23+0800,57facd44-3b2a-41c2-85c7-ac6fead5fa50,,
2026-04-21T15:07:23+0800,CONVERSION,CONVERSION_BUY,6ac3856d-f0b8-4e0b-a1da-192e035c6cc0,Sell SGD 40000.00,USD,SGD,"40,000.00",1.275477,2026-04-21,"31,360.82",,,"31,360.82","42,728.51","42,723.51",2026-04-21T15:07:23+0800,57facd44-3b2a-41c2-85c7-ac6fead5fa50,,
2026-04-21T15:08:26+0800,YIELD,TRANSFER,dbe1087c-e18d-4246-8cb5-5cd78353bfc0,Transfer to USD Yield balance,USD,,,,,"25,000.00",,"25,000.00",,"17,728.51","17,723.51",2026-04-21T15:08:26+0800,,,
2026-04-22T06:14:37+0800,CARD,CARD_PURCHASE,47f7748c-ad45-423f-a9f6-4a9c4fb14fd6,"SQ *EASYTOREFER, gosq.com, USA, (Company card 1, **1524): USD 5.00",USD,,,,,5.00,,5.00,,"17,723.51","17,638.21",2026-04-21T14:52:27+0800,,,
2026-04-22T17:30:22+0800,CARD,CARD_PURCHASE,91e1d8a0-70e1-430c-95d1-b5e316b11d05,"Amazon.com*BJ2IY8FW2, Amzn.com/bill, USA, (Company card 1, **1524): USD 85.30",USD,,,,,85.30,,85.30,,"17,638.21","17,638.21",2026-04-21T23:10:17+0800,,,
2026-04-24T07:22:23+0800,CARD,CARD_PURCHASE,620f2c87-00f2-4b74-9319-af417566324d,"SQ *EASYTOREFER, gosq.com, USA, (Company card 1, **1524): USD 5.00",USD,,,,,5.00,,5.00,,"17,633.21","17,633.21",2026-04-23T22:02:45+0800,,,
2026-04-28T02:14:29+0800,CARD,CARD_PURCHASE,40e6c5dc-f1d3-4e86-a5b7-83c74d99086a,"GOOGLE*CLOUD WQWTXC, CC GOOGLE.COM, SGP, (Company card 1, **1524): MYR 40.00",USD,MYR,40.00,,,10.21,,10.21,,"17,623.00","17,623.00",2026-04-27T15:02:25+0800,,,
